charuco	標靶ID、已知座標、覆蓋率與重投影驗證概念	重建核心與手機閱讀路徑；R07英文密圖與舊SVG混用，校正求內參／已知內參求姿態未清楚分流；移除正文candidate製作註記。
ecc	32/12位移與遠起點217px失敗證據；工程4反光／遮擋／視差案例可保留	主圖反覆縮小同照片，0.2px殘差無放大證據；重建迭代對齊的中間變化與工作比較，遷移題增加新條件；工程1–3重畫，勿丟棄工程4。
sift	120點／104匹配與模糊46點／4匹配案例	描述子只有名稱與點線，未顯示梯度／方向／描述與篩選；重建核心圖和手機圖，修正「4條線約束不住」的過度絕對說法，補錯配與退化条件。
lightglue	extractor→matcher→幾何求解分工，以及未載入LightGlue權重的示意聲明	注意力、信心、修剪只換標籤，候選關係沒有可見變化；重建核心／比較／遷移題；反例圖說重複金屬與實際模糊案例不一致。
resnet	同形狀x+F(x)、背景捷徑反例與方法比較	工程圖未呈現殘差相加及分類輸出；深讀手機2/4/8章小字與數值重排，保留實際特徵與pooling反例。
convnext	空間混合／通道混合／殘差及背景反例	重畫工程圖的空間與通道變化，交付分類結果，不能用通用熱點取代；主線保留。
vit-classifier	patch、位置、注意力與CLS分類	工程圖補token如何交換資訊與分類讀出；通用PCB條塊／热點不能交代ViT機制。
u-net	多尺度skip與細焊線分割反例	工程圖重畫編碼／解碼與同尺度skip，輸出語意遮罩，不能以通用熱點代替。
segformer	四尺度特徵、對齊與MLP融合	工程圖補四尺度至語意遮罩；深讀手機1章標題靠邊、3–5章細網格與標註重排。
yolo-seg	YOLOv8式prototype與每物件係數組合	工程圖重畫prototype×係數及實例遮罩，區分同類物件，避免通用熱點。
keypoint-r-cnn	ROI熱圖A/B/C與映回原圖	工程圖補ROI座標至原圖座標，保留每關鍵點身份與可見性，不能用無身份熱區代替。
pose	已知K／畸變、3D–2D對應、R/t、重投影與站點交付	工程2把top-down與bottom-up替代方法串接，改分支；工程輸出應是座標／姿態／誤差，主線保留。
det-yolo-dense	YOLOv8式密集候選、NMS與4→2框反例	工程圖補具體候選框、分數與去重前後；主線及與RT-DETR的工作比較保留。
det-rtdetr	混合編碼、query修框與一對一訓練	工程圖補query和框的逐步變化，分清訓練匹配／推論；熱點不能代表偵測框。
det-dino-detector	正負去噪查詢僅用訓練的文字界線	主圖工件小而模糊、核心只有名詞；重建帶噪框如何提供學習訊號、推論如何出框；第四圖段落重複，自測需可遷移條件。
